id;amount;currency;transaction_type;narative_line_1;narative_line_2;narative_line_3;narative_line_4;client_ref_number;payment_details
1;46318;solution quantify;Frozen compressing Innovative;functionalities;Enterprise-wide Small Manager;Ohio;Avon;vortals Applications;Spring
2;47318;UAE Dirham Designer;Bolivia;back up;Keyboard Berkshire reboot;Frozen Buckinghamshire Planner;open-source Hat;ability Fundamental;overriding
3;25201;wireless Borders;user-centric Nebraska application;Wooden;Incredible;deposit Architect;cross-platform digital Shoes;generate ability Shirt;transmit Multi-layered Kenya
4;33249;Administrator Investor;Supervisor Networked Gloves;deposit;bypass Technician;withdrawal synergistic;navigate;generate Pants Object-based;Jersey Group framework
5;46065;deliverables;Checking Account;Front-line;cultivate bus Guinea-Bissau;teal Quality Interactions;Borders overriding client-driven;Avon Rubber;Executive
6;98767;payment Gabon;redundant Unbranded Cotton Chair;Home Loan Account;program Gabon monitor;Table Niue National;Re-engineered Minnesota Computer;Human Intelligent Soft Gloves;Rustic Fresh Fish withdrawal Division
7;5253;Generic Plastic Computer Sports;action-items gold;payment;FTP Streamlined;Borders;multi-tasking vertical;Spur Cambridgeshire Avon;Aruba Producer Mississippi
8;91421;override;green Motorway;Cuba Savings Account partnerships;compressing District Indonesia;ROI;Producer;Grocery Coves virtual;payment protocol
9;39239;Island calculating hard drive;Taka;Directives;Concrete Technician;hard drive Wooden;transmit Kids;haptic Cambridgeshire withdrawal;system
10;74677;Mouse Investment Account;Shoes;Generic Brunei Dollar;enterprise Tasty;24/365 eyeballs;functionalities Generic back-end;parsing;De-engineered Supervisor
